playerID,name,WAR1_flag,WAR2_flag,WAR3_flag,WAR_2018
592314,"Foltynewicz, Mike",1,1,1,3.9
434671,"Sanchez, Anibal",1,1,0,2.4
656794,"Newcomb, Sean",1,0,0,1.9
621345,"Minter, A.J.",1,0,0,1.4
595465,"Winkler, Dan",1,0,0,1.2
592332,"Gausman, Kevin",0,0,0,0.9
527054,"Teheran, Julio",0,0,0,0.7
647336,"Soroka, Mike",0,0,0,0.6
641438,"Carle, Shane",0,0,0,0.6
608331,"Fried, Max",0,0,0,0.4
657053,"Toussaint, Touki",0,0,0,0.4
458924,"Venters, Jonny",0,0,0,0.3
527055,"Vizcaino, Arodys",0,0,0,0.3
592426,"Jackson, Luke",0,0,0,0.3
518693,"Freeman, Sam",0,0,0,0.3
542960,"Brach, Brad",0,0,0,0.3
592145,"Biddle, Jesse",0,0,0,0.2
435221,"McCarthy, Brandon",0,0,0,0.2
462515,"Socolovich, Miguel",0,0,0,0.1
669060,"Wilson, Bryse",0,0,0,0.1
518586,"Culberson, Charlie",0,0,0,0
605538,"Wisler, Matt",0,0,0,0
627894,"Gohara, Luiz",0,0,0,0
571521,"Brothers, Rex",0,0,0,0
607030,"McCreery, Adam",0,0,0,0
656977,"Sobotka, Chad",0,0,0,0
502051,"Ravin, Josh",0,0,0,-0.1
542432,"Ramirez, Jose",0,0,0,-0.1
595032,"Whitley, Chase",0,0,0,-0.1
641149,"Parsons, Wes",0,0,0,-0.1
608371,"Sims, Lucas",0,0,0,-0.2
657140,"Wright, Kyle",0,0,0,-0.2
623465,"Phillips, Evan",0,0,0,-0.2
663465,"Allard, Kolby",0,0,0,-0.3
493247,"Moylan, Peter",0,0,0,-0.4
